community,year,n_gang_territories
ALBANY PARK,2012,4
ARCHER HEIGHTS,2012,1
ARMOUR SQUARE,2012,3
ASHBURN,2012,3
AUBURN GRESHAM,2012,12
AUSTIN,2012,53
AVALON PARK,2012,2
AVONDALE,2012,4
BELMONT CRAGIN,2012,13
BEVERLY,2012,1
BRIDGEPORT,2012,2
BRIGHTON PARK,2012,5
BURNSIDE,2012,1
CALUMET HEIGHTS,2012,5
CHATHAM,2012,7
CHICAGO LAWN,2012,9
CLEARING,2012,1
DOUGLAS,2012,3
EAST GARFIELD PARK,2012,5
EAST SIDE,2012,3
EDGEWATER,2012,3
ENGLEWOOD,2012,9
FULLER PARK,2012,2
GAGE PARK,2012,4
GARFIELD RIDGE,2012,2
GRAND BOULEVARD,2012,7
GREATER GRAND CROSSING,2012,13
HEGEWISCH,2012,1
HERMOSA,2012,6
HUMBOLDT PARK,2012,17
HYDE PARK,2012,2
IRVING PARK,2012,4
LINCOLN SQUARE,2012,3
LOGAN SQUARE,2012,15
LOWER WEST SIDE,2012,10
MCKINLEY PARK,2012,4
MORGAN PARK,2012,8
NEAR NORTH SIDE,2012,3
NEAR SOUTH SIDE,2012,1
NEAR WEST SIDE,2012,7
NEW CITY,2012,13
NORTH CENTER,2012,2
NORTH LAWNDALE,2012,25
OAKLAND,2012,2
PORTAGE PARK,2012,2
PULLMAN,2012,5
RIVERDALE,2012,10
ROGERS PARK,2012,10
ROSELAND,2012,22
SOUTH CHICAGO,2012,20
SOUTH DEERING,2012,4
SOUTH LAWNDALE,2012,26
SOUTH SHORE,2012,14
UPTOWN,2012,6
WASHINGTON HEIGHTS,2012,8
WASHINGTON PARK,2012,3
WEST ELSDON,2012,1
WEST ENGLEWOOD,2012,17
WEST GARFIELD PARK,2012,6
WEST LAWN,2012,1
WEST PULLMAN,2012,13
WEST RIDGE,2012,4
WEST TOWN,2012,16
WOODLAWN,2012,6
KENWOOD,2012,NA
JEFFERSON PARK,2012,NA
FOREST GLEN,2012,NA
NORTH PARK,2012,NA
DUNNING,2012,NA
MONTCLARE,2012,NA
NORWOOD PARK,2012,NA
LOOP,2012,NA
LAKE VIEW,2012,NA
LINCOLN PARK,2012,NA
MOUNT GREENWOOD,2012,NA
OHARE,2012,NA
EDISON PARK,2012,NA
